name,salary_from,salary_to,salary_currency,area_name,published_at
Руководитель проектов,100000,,RUR,Москва,2022-12-19T23:57:38+0300
Python-разработчик в R&D отдел,100000,150000,RUR,Санкт-Петербург,2022-12-19T23:53:34+0300
Middle Python developer,150000,200000,RUR,Санкт-Петербург,2022-12-19T23:53:34+0300
Python-разработчик систем сбора,100000,150000,RUR,Санкт-Петербург,2022-12-19T23:53:33+0300
Дизайнер одежды (художник-модельер),1500,2500,BYR,Минск,2022-12-19T23:49:38+0300
Программист C# (удалённо),,,,Москва,2022-12-19T23:49:36+0300
Python Teamlead,350000,400000,RUR,Москва,2022-12-19T23:49:19+0300
Дизайнер разработки корпоративного мерча и подарков,,,,Москва,2022-12-19T23:49:13+0300
Junior C# разработчик,40000,70000,RUR,Новосибирск,2022-12-19T23:43:28+0300
Менеджер проектов (работа с поставщиками),30000,50000,RUR,Москва,2022-12-19T23:40:27+0300
Руководитель IT-отдела / Team Lead,80000,120000,RUR,Москва,2022-12-19T23:40:27+0300
Ведущий проекта Форт Боярд,35000,,RUR,Сургут,2022-12-19T23:39:56+0300
React Native разработчик (RN Front-end mobile developer),160000,,RUR,Воронеж,2022-12-19T23:37:32+0300
Старший консультант SAP BI,,,,Санкт-Петербург,2022-12-19T23:34:29+0300
Специалист - консультант поддержки 1С,,,,Москва,2022-12-19T23:31:04+0300
Руководитель проектов 1С,250000,350000,RUR,Москва,2022-12-19T23:30:53+0300
Системный администратор,60000,,RUR,Ижевск,2022-12-19T23:30:27+0300
PHP-разработчик,,,,Москва,2022-12-19T23:26:18+0300
Заместитель начальника сервисной службы (пищевое оборудование),,,,Санкт-Петербург,2022-12-19T23:23:09+0300
ИТ сервис менеджер/Менеджер сопровождения информационных услуг,,,,Москва,2022-12-19T23:22:16+0300
Middle React Native разработчик (mobile),,250000,RUR,Москва,2022-12-19T23:21:39+0300
Руководитель проекта,,,,Санкт-Петербург,2022-12-19T23:21:22+0300
Технический директор/Главный инженер,250000,,RUR,Воронеж,2022-12-19T23:17:25+0300
Технический директор/Главный инженер,250000,,RUR,Курск,2022-12-19T23:17:25+0300
Технический директор/Главный инженер,250000,,RUR,Ростов-на-Дону,2022-12-19T23:17:25+0300
Технический директор/Главный инженер,250000,,RUR,Тамбов,2022-12-19T23:17:25+0300
Технический директор/Главный инженер,250000,,RUR,Белгород,2022-12-19T23:17:25+0300
Аналитик маркетплейсов,40000,100000,RUR,Москва,2022-12-19T23:13:36+0300
