name,salary,area_name,published_at
"Software Engineer for Windows applications, COM-components development",,Москва,2003-10-07 00:00:00+04:00
Технический консультант.,12201.0,Санкт-Петербург,2003-09-19 14:42:13+04:00
Специалист по технической поддержке - сопровождению,,Москва,2003-08-28 00:00:00+04:00
"Менеджер по работе с партнерами, региональному развитию бизнеса",,Москва,2003-08-28 00:00:00+04:00
Стажер отдела консалтинга и внедрения,,Москва,2003-08-28 00:00:00+04:00
Программист-разработчик Delphi+Pl/SQL (Oracle),,Москва,2003-08-28 00:00:00+04:00
Консультант по внедрению ERP-системы,,Москва,2003-08-28 00:00:00+04:00
SAP R/3 functional consultant,,Москва,2003-01-24 21:30:49+03:00
Account Manager,,Москва,2003-10-06 00:00:00+04:00
IT Sales Manager,,Москва,2003-10-06 00:00:00+04:00
Broadcast encryption engineer,63569.0,Южная Корея,2003-01-31 18:24:11+03:00
Embedded OS engineering manager,63569.0,Москва,2003-01-31 18:25:43+03:00
Начальник Управления автоматизации крупного банка (ТОР-30),122014.0,Москва,2003-09-09 00:00:00+04:00
Coordinator on Intellectual Property Projects,,Москва,2003-02-12 10:40:50+03:00
Outsourcing Projects Coordinator,,Москва,2003-02-14 16:31:06+03:00
Software engineer  Project Leader,,Москва,2003-03-11 14:47:06+03:00
Localization Project Coordinator,,Москва,2003-03-19 14:22:04+03:00
Software engineer (Project Leader ),,Москва,2003-03-19 15:25:12+03:00
Software engineer (Project Leader ),,Москва,2003-03-19 15:26:37+03:00
Software engineer  (Project Leader),,Москва,2003-03-19 15:27:50+03:00
Специалист (настройщик) модуля BASIS SAP R/3,91843.0,Москва,2003-10-06 00:00:00+04:00
Менеджер по продвижению программных продуктов,31380.0,Москва,2003-04-01 18:28:37+04:00
Технический писатель,9414.0,Москва,2003-04-01 18:35:22+04:00
Key account manager  (продажа компьютерного оборудования),45755.0,Москва,2003-09-19 00:00:00+04:00
Системный инженер,36737.0,Москва,2003-10-06 00:00:00+04:00
"Project manager (ERP, SCM)",61007.0,Москва,2003-09-05 00:00:00+04:00
Бизнес-аналитик,37323.0,Москва,2003-05-14 16:18:16+04:00
